,tweet_id,favorite_count,retweet_count
191,855851453814013952,44184,17227
192,855818117272018944,25739,5185
193,855459453768019968,28785,7866
194,855245323840757760,0,5691
195,855138241867124737,0,43
196,854732716440526848,22024,5809
197,854482394044301312,28350,6575
198,854365224396361728,18301,4503
199,854120357044912130,31020,7169
200,854010172552949760,15738,3024
201,853760880890318849,27738,5523
202,853639147608842240,33654,9664
203,853299958564483072,15056,3435
204,852936405516943360,0,1924
205,852912242202992640,8780,1744
206,852672615818899456,14506,2080
207,852553447878664193,15863,3346
208,852311364735569921,32301,9605
209,852226086759018497,19488,6623
210,852189679701164033,11179,1538
211,851953902622658560,0,0
212,851861385021730816,0,19
213,851591660324737024,15880,3361
214,851464819735769094,23683,6841
215,851224888060895234,20216,5568
216,850753642995093505,30117,8840
217,850380195714523136,12814,2529
218,850333567704068097,3382,319
219,850145622816686080,15986,3688
220,850019790995546112,19963,4736
221,849776966551130114,29780,7377
222,849668094696017920,0,4819
223,849412302885593088,15547,3073
224,849336543269576704,11195,1849
225,849051919805034497,41504,8247
226,848690551926992896,24705,4218
227,848324959059550208,24231,4508
228,848213670039564288,8024,710
229,848212111729840128,16020,2959
230,847978865427394560,0,3172
231,847971574464610304,0,422
232,847962785489326080,23102,4949
233,847842811428974592,5337,1295
234,847617282490613760,6863,402
235,847606175596138505,18459,3353
236,847251039262605312,20165,4223
237,847157206088847362,19570,5730
238,847116187444137987,21121,3112
239,846874817362120707,19779,3843
240,846514051647705089,43914,11287
241,846505985330044928,13877,3007
242,846153765933735936,31103,8848
243,846139713627017216,30591,9826
244,846042936437604353,15734,2803
245,845812042753855489,28795,8522
246,845677943972139009,24837,4705
247,845459076796616705,0,0
248,845397057150107648,7517,1764
249,845306882940190720,23015,5290
250,845098359547420673,0,7503
251,844979544864018432,13457,2510
252,844973813909606400,14877,3126
253,844704788403113984,0,0
254,844580511645339650,16267,3063
255,844223788422217728,13494,2162
256,843981021012017153,15001,2899
257,843856843873095681,21196,4547
258,843604394117681152,16693,2696
259,843235543001513987,21277,5920
260,842892208864923648,0,0
261,842846295480000512,15118,3584
262,842765311967449089,6661,1257
263,842535590457499648,17916,3458
264,842163532590374912,24172,5691
265,842115215311396866,13842,2989
266,841833993020538882,0,14831
267,841680585030541313,25493,7703
268,841439858740625411,12529,3631
269,841320156043304961,19626,5427
270,841314665196081154,15691,4585
271,841077006473256960,22654,5238
272,840761248237133825,0,1745
273,840728873075638272,0,15892
274,840698636975636481,173,2
275,840696689258311684,12184,962
276,840632337062862849,8917,1745
277,840370681858686976,16324,4493
278,840268004936019968,19111,5650
279,839990271299457024,13318,2249
280,839549326359670784,27253,7661
281,839290600511926273,0,141
282,839239871831150596,26918,6452
283,838952994649550848,19525,3950
284,838921590096166913,11068,2041
285,838916489579200512,0,35
286,838831947270979586,0,10890
287,838561493054533637,10881,1322
288,838476387338051585,22354,4720
289,838201503651401729,0,9948
290,838150277551247360,1665,328
291,838085839343206401,138,1
292,838083903487373313,17509,3100
293,837820167694528512,33895,7784
294,837482249356513284,3835,439
295,837471256429613056,12711,2255
296,837366284874571778,0,0
297,837110210464448512,15972,2345
298,837012587749474308,0,0
299,836989968035819520,12706,2277
300,836753516572119041,19243,4605
301,836677758902222849,12560,2208
302,836648853927522308,0,554
303,836397794269200385,0,27303
304,836380477523124226,14695,2968
305,836260088725786625,21225,4268
306,836001077879255040,19015,4225
307,835685285446955009,0,8073
308,835574547218894849,17726,3595
309,835536468978302976,0,1687
310,835309094223372289,0,20780
311,835297930240217089,16414,2989
312,835264098648616962,7709,1687
313,835246439529840640,2091,73
314,835172783151792128,26068,5734
315,835152434251116546,22323,2993
316,834931633769889797,10763,1627
317,834786237630337024,21301,5461
318,834574053763584002,13614,2519
319,834477809192075265,0,10580
320,834458053273591808,9579,1672
321,834209720923721728,20518,4728
322,834167344700198914,15787,3644
323,834089966724603904,10025,2121
324,834086379323871233,13039,2196
325,833863086058651648,13403,2398
326,833826103416520705,18033,3755
327,833732339549220864,0,221
